2020-08-30 20:30:23,717 INFO  [log] Status: FINISHED, time taken for TestCase was: 1241 ms
2020-08-30 20:30:23,740 INFO  [log] Number of test steps which ran: 6
2020-08-30 20:30:24,104 INFO  [log] 1879
2020-08-30 20:30:25,047 INFO  [log] []
2020-08-30 20:30:25,048 INFO  [log] username displayed in response is wrong
2020-08-30 20:30:25,049 INFO  [log] [HTTP/1.1 404 Not Found]
2020-08-30 20:30:25,049 INFO  [log] status is 200
2020-08-30 20:30:25,056 INFO  [log] Status: FINISHED, time taken for TestCase was: 1269 ms
2020-08-30 20:30:25,056 INFO  [log] Number of test steps which ran: 5
2020-08-30 20:30:25,057 INFO  [log] Category2
2020-08-30 20:30:25,057 INFO  [log] CategoryDesc2
2020-08-30 20:30:25,058 INFO  [log] 102
2020-08-30 20:30:25,059 INFO  [log] 12
2020-08-30 20:30:25,375 INFO  [log] 1880
2020-08-30 20:30:25,723 INFO  [log] [10]
2020-08-30 20:30:26,358 INFO  [log] [null]
2020-08-30 20:30:26,358 INFO  [log] username displayed in response is wrong
2020-08-30 20:30:26,359 INFO  [log] [HTTP/1.1 200 OK]
2020-08-30 20:30:26,359 INFO  [log] status is 200
2020-08-30 20:30:26,364 INFO  [log] Status: FINISHED, time taken for TestCase was: 1277 ms
2020-08-30 20:30:26,367 INFO  [log] Number of test steps which ran: 6
2020-08-30 20:30:26,675 INFO  [log] 1881
2020-08-30 20:30:27,596 INFO  [log] []
2020-08-30 20:30:27,597 INFO  [log] username displayed in response is wrong
2020-08-30 20:30:27,598 INFO  [log] [HTTP/1.1 404 Not Found]
2020-08-30 20:30:27,599 INFO  [log] status is 200
2020-08-30 20:30:27,602 INFO  [log] Status: FINISHED, time taken for TestCase was: 1211 ms
2020-08-30 20:30:27,605 INFO  [log] Number of test steps which ran: 5
2020-08-30 20:30:27,605 INFO  [log] Category3
2020-08-30 20:30:27,606 INFO  [log] CategoryDesc3
2020-08-30 20:30:27,606 INFO  [log] 103
2020-08-30 20:30:27,607 INFO  [log] 13
2020-08-30 20:30:27,915 INFO  [log] 1882
2020-08-30 20:30:28,227 INFO  [log] [10]
2020-08-30 20:30:28,852 INFO  [log] [null]
2020-08-30 20:30:28,854 INFO  [log] username displayed in response is wrong
2020-08-30 20:30:28,855 INFO  [log] [HTTP/1.1 200 OK]
2020-08-30 20:30:28,856 INFO  [log] status is 200
2020-08-30 20:30:28,862 INFO  [log] Status: FINISHED, time taken for TestCase was: 1223 ms
2020-08-30 20:30:28,863 INFO  [log] Number of test steps which ran: 6
2020-08-30 20:30:29,167 INFO  [log] 1883
2020-08-30 20:30:30,474 INFO  [log] []
2020-08-30 20:30:30,474 INFO  [log] username displayed in response is wrong
2020-08-30 20:30:30,475 INFO  [log] [HTTP/1.1 404 Not Found]
2020-08-30 20:30:30,475 INFO  [log] status is 200
2020-08-30 20:30:30,479 INFO  [log] Status: FINISHED, time taken for TestCase was: 1594 ms
2020-08-30 20:30:30,479 INFO  [log] Number of test steps which ran: 5
2020-08-30 20:30:30,483 INFO  [log] Category4
2020-08-30 20:30:30,484 INFO  [log] CategoryDesc4
2020-08-30 20:30:30,484 INFO  [log] 104
2020-08-30 20:30:30,485 INFO  [log] 14
2020-08-30 20:30:30,823 INFO  [log] 1884
